x,Re_x,Nu_cfd,Nu_analytical,error_percent
8.690255000000000896e-03,2.515600131578948094e+03,1.490744186508224089e+01,1.485519433722530636e+01,3.517121800689513855e-01
9.162764999999999799e-03,2.652379342105263731e+03,1.531212167065951313e+01,1.525370530196927632e+01,3.829651060761949388e-01
9.639110999999998819e-03,2.790268973684210323e+03,1.570942885074457429e+01,1.564518014932341217e+01,4.106613078785200655e-01
1.011932599999999793e-02,2.929278578947368260e+03,1.609994751849566796e+01,1.603016051640389250e+01,4.353481178205385049e-01
1.060343999999999870e-02,3.069416842105263186e+03,1.648420887736533658e+01,1.640912673111488118e+01,4.575633272920313632e-01
1.109148600000000109e-02,3.210693315789474127e+03,1.686267776819862263e+01,1.678251118223067451e+01,4.776793240145641439e-01
1.158349500000000268e-02,3.353116973684211644e+03,1.723577156645957942e+01,1.715070138200720962e+01,4.960157754342156555e-01
1.207949899999999702e-02,3.496697078947367572e+03,1.760388244131494773e+01,1.751404812177998949e+01,5.129272165424894059e-01
1.257953000000000196e-02,3.641442894736843300e+03,1.796729066803485608e+01,1.787286953257361333e+01,5.282930941176435802e-01
1.308362299999999909e-02,3.787364552631579500e+03,1.832635102732041332e+01,1.822745725052342181e+01,5.425538814205786986e-01
1.359180800000000036e-02,3.934470736842105453e+03,1.868136177328914016e+01,1.857807419765563495e+01,5.559649215231310393e-01
1.410412100000000071e-02,4.082771868421053114e+03,1.903254362640286956e+01,1.892496522373463108e+01,5.684470296057383409e-01
1.462059299999999770e-02,4.232276921052631224e+03,1.938017531703557950e+01,1.926835199229409668e+01,5.803471142015871331e-01
1.514126000000000014e-02,4.382996315789474465e+03,1.972444798949014810e+01,1.960844191671239045e+01,5.916129046382058165e-01
1.566615399999999811e-02,4.534939315789473767e+03,2.006556291111491319e+01,1.994542401206253146e+01,6.023381552566869912e-01
1.619531100000000043e-02,4.688116342105264266e+03,2.040373647910562127e+01,2.027947574588467461e+01,6.127413488298038002e-01
1.672876499999999614e-02,4.842537236842104903e+03,2.073909671919986764e+01,2.061076054647519129e+01,6.226658760858978514e-01
1.726655100000000151e-02,4.998212131578948174e+03,2.107180960871615838e+01,2.093943096469811849e+01,6.321979056700138822e-01
1.780870299999999865e-02,5.155150868421053019e+03,2.140205872499941364e+01,2.126562852054334840e+01,6.415526553765803497e-01
1.835525900000000224e-02,5.313364447368422589e+03,2.172998159540927077e+01,2.158948765037835571e+01,6.507516403635122959e-01
1.890625200000000186e-02,5.472862421052632271e+03,2.205566549792932562e+01,2.191113116683403916e+01,6.596388383364799601e-01
1.946171999999999833e-02,5.633655789473684308e+03,2.237929545557240374e+01,2.223067694298537944e+01,6.685289564873959645e-01
2.002169900000000044e-02,5.795754973684212018e+03,2.270094448282831223e+01,2.254823443586472820e+01,6.772594430750054073e-01
2.058622399999999672e-02,5.959170105263157893e+03,2.302070343562195376e+01,2.286390592790225895e+01,6.857861828776375956e-01
2.115533400000000133e-02,6.123912473684211363e+03,2.333874791473892074e+01,2.317778984306430701e+01,6.944496121694649915e-01
2.172906600000000174e-02,6.289992789473685662e+03,2.365510228023153516e+01,2.348997784003914546e+01,7.029569858126121229e-01
2.230745599999999981e-02,6.457421473684211378e+03,2.396988362651865501e+01,2.380055585901596515e+01,7.114445919066476609e-01
2.289054300000000278e-02,6.626209815789475215e+03,2.428321262690672455e+01,2.410960665745523457e+01,7.200696880627337482e-01
2.347836499999999757e-02,6.796368815789473956e+03,2.459511803591087542e+01,2.441720798574803197e+01,7.286256899916114804e-01
2.407095999999999889e-02,6.967909473684211662e+03,2.490568825057482982e+01,2.472343346060326397e+01,7.371742693505271005e-01
2.466836799999999955e-02,7.140843368421053128e+03,2.521502513253367184e+01,2.502835387526974742e+01,7.458391318670474224e-01
2.527062700000000037e-02,7.315181500000001506e+03,2.552314735653149924e+01,2.533203540283275146e+01,7.544279433518268352e-01
2.587777600000000164e-02,7.490935157894738040e+03,2.583014303046386217e+01,2.563454138979143337e+01,7.630393604401449759e-01
2.648985499999999618e-02,7.668115921052631165e+03,2.613613229686493256e+01,2.593593255105984596e+01,7.719010890044346596e-01
2.710690499999999711e-02,7.846735657894737415e+03,2.644109232378756147e+01,2.623626714821057604e+01,7.806948085255922543e-01
2.772896599999999726e-02,8.026805947368421585e+03,2.674514426125551481e+01,2.653560019570114292e+01,7.896714753349303173e-01
2.835607799999999637e-02,8.208338368421053019e+03,2.704833150084378346e+01,2.683398413687967476e+01,7.987906785318446001e-01
2.898828200000000063e-02,8.391344789473685523e+03,2.735066340331753310e+01,2.713146947266650244e+01,8.078955357425692263e-01
2.962562000000000181e-02,8.575837368421054634e+03,2.765219525273711554e+01,2.742810488423825532e+01,8.170100320260742510e-01
3.026813399999999862e-02,8.761828263157894980e+03,2.795302782863173263e+01,2.772393688805465572e+01,8.263290365365993928e-01
3.091586499999999724e-02,8.949329342105264004e+03,2.825317300799585851e+01,2.801900951103979054e+01,8.357308164794513550e-01
3.156885600000000625e-02,9.138353052631582614e+03,2.855268949730825767e+01,2.831336577812636079e+01,8.452676416407818305e-01
3.222714999999999608e-02,9.328911842105262622e+03,2.885162285028572171e+01,2.860704688736767665e+01,8.549500543729493529e-01
3.289078900000000361e-02,9.521017868421055027e+03,2.914992397922738476e+01,2.890009187357151887e+01,8.644682056679955373e-01
3.355981700000000567e-02,9.714683868421054285e+03,2.944782058679418313e+01,2.919253903069300904e+01,8.744753439663857097e-01
3.423427799999999299e-02,9.909922578947367583e+03,2.974523392128650201e+01,2.948442509541479950e+01,8.845647321516252326e-01
3.491421599999999792e-02,1.010674673684210575e+04,3.004213786594522873e+01,2.977578533078084178e+01,8.945273221359636429e-01
3.559967499999999729e-02,1.030516907894736869e+04,3.033872754804911409e+01,3.006665360410897136e+01,9.049026457103311882e-01
3.629070099999999466e-02,1.050520292105263070e+04,3.063495012368387194e+01,3.035706329615255328e+01,9.153943015513558157e-01
3.698733799999999461e-02,1.070686099999999897e+04,3.093081855268233582e+01,3.064704567220529441e+01,9.259387789355610909e-01
3.768963100000000122e-02,1.091015634210526514e+04,3.122641088047717517e+01,3.093663121711928810e+01,9.366878420735506028e-01
3.839762800000000309e-02,1.111510284210526697e+04,3.152171900666963467e+01,3.122585048879349756e+01,9.475114792544081510e-01
3.911137400000000430e-02,1.132171352631579248e+04,3.181680186076534866e+01,3.151473170121014533e+01,9.585046206933249824e-01
3.983091599999999399e-02,1.153000200000000041e+04,3.211162223491962919e+01,3.180330283029163141e+01,9.694571858566003453e-01
4.055630100000000293e-02,1.173998186842105497e+04,3.240630826881107396e+01,3.209159083615654140e+01,9.806850469374387425e-01
4.128757700000000586e-02,1.195166702631579392e+04,3.270089083005842667e+01,3.237962210298132248e+01,9.921941832901245428e-01
4.202479000000000631e-02,1.216507078947368791e+04,3.299530506211239356e+01,3.266742130059068216e+01,1.003702614003948668e+00
4.276798999999999185e-02,1.238020763157894544e+04,3.328965461390919955e+01,3.295501377287172318e+01,1.015447431895627917e+00
4.351722599999999219e-02,1.259709173684210509e+04,3.358394488585071969e+01,3.324242360053751355e+01,1.027365782402471783e+00
4.427254499999999648e-02,1.281573671052631653e+04,3.387816955446235312e+01,3.352967327802917197e+01,1.039366752975605657e+00
4.503399799999999176e-02,1.303615731578947270e+04,3.417241879545122174e+01,3.381678603482062329e+01,1.051645653919946355e+00
4.580163399999999385e-02,1.325836773684210493e+04,3.446666869239687969e+01,3.410378357168013252e+01,1.064061176537866249e+00
4.657550299999999033e-02,1.348238244736841989e+04,3.476099246156059053e+01,3.439068723286167995e+01,1.076760188569506393e+00
4.735565699999999545e-02,1.370821650000000045e+04,3.505535862985145457e+01,3.467751838764165484e+01,1.089582703081931392e+00
4.814214599999999677e-02,1.393588436842105330e+04,3.534982461095753337e+01,3.496429697725637453e+01,1.102632305039444649e+00
4.893502199999999469e-02,1.416540110526315766e+04,3.564444845119285787e+01,3.525104301408705965e+01,1.116010771507059074e+00
4.973433599999999011e-02,1.439678147368421014e+04,3.593905971894231755e+01,3.553777550720049305e+01,1.129176505886020365e+00
5.054014099999999676e-02,1.463004081578947444e+04,3.623392264309305233e+01,3.582451356587694136e+01,1.142818245007729772e+00
5.135248900000000116e-02,1.486519418421052796e+04,3.652896562734881059e+01,3.611127534084634760e+01,1.156675532946362717e+00
5.217143400000000264e-02,1.510225721052631889e+04,3.682410721178862190e+01,3.639807910846880645e+01,1.170468644925525048e+00
5.299702900000000105e-02,1.534124523684210908e+04,3.711960725045658194e+01,3.668494222734905463e+01,1.184859500156114187e+00
5.382932899999999521e-02,1.558217418421052571e+04,3.741537645217375996e+01,3.697188220395045022e+01,1.199544685815109313e+00
5.466838699999999884e-02,1.582505939473684339e+04,3.771131198107799776e+01,3.725891532349452717e+01,1.214197068421368542e+00
5.551425799999999688e-02,1.606991678947368382e+04,3.800754730966903594e+01,3.754605804892432985e+01,1.229128395165647536e+00
5.636699800000000149e-02,1.631676257894737137e+04,3.830409257640962295e+01,3.783332667812307903e+01,1.244315368541888844e+00
5.722666299999999706e-02,1.656561297368421219e+04,3.860095197929533128e+01,3.812073701655956626e+01,1.259721087048135235e+00
5.809330899999999576e-02,1.681648418421052702e+04,3.889812492885104689e+01,3.840830439515330852e+01,1.275298510078326064e+00
5.896699199999999585e-02,1.706939242105263111e+04,3.919573623618445168e+01,3.869604368730688293e+01,1.291327229510748298e+00
5.984776999999999458e-02,1.732435447368420864e+04,3.949378096489516565e+01,3.898396997653934193e+01,1.307745180038434540e+00
6.073569999999998970e-02,1.758138684210526480e+04,3.979224673118530120e+01,3.927209757818940261e+01,1.324475098281418406e+00
6.163084099999999177e-02,1.784050660526315914e+04,4.009125482308014199e+01,3.956044102950922792e+01,1.341779261699750370e+00
6.253324999999999856e-02,1.810173026315789684e+04,4.039064812625055367e+01,3.984901380639006874e+01,1.359216372309896670e+00
6.344298799999999183e-02,1.836507547368421001e+04,4.069039843399252021e+01,4.013783025871942556e+01,1.376676745383007772e+00
6.436011299999999657e-02,1.863055902631579011e+04,4.099075727070121644e+01,4.042690337987058058e+01,1.394749148932813876e+00
6.528468499999999508e-02,1.889819828947368660e+04,4.129169564459252939e+01,4.071624641319854732e+01,1.413316015317769736e+00
6.621676499999999688e-02,1.916801092105263524e+04,4.159317869648776167e+01,4.100587253274444777e+01,1.432248913309506877e+00
6.715641399999999761e-02,1.944001457894737177e+04,4.189531474710712189e+01,4.129579453732197436e+01,1.451770613696070411e+00
6.810369399999999240e-02,1.971422721052631459e+04,4.219806298570549075e+01,4.158602516800745263e+01,1.471739160512231415e+00
6.905866599999999078e-02,1.999066647368421036e+04,4.250152771677736752e+01,4.187657650282760358e+01,1.492364625144478429e+00
7.002139200000000174e-02,2.026935031578947746e+04,4.280550562268689418e+01,4.216746058088573079e+01,1.513121807696396148e+00
7.099193699999999108e-02,2.055029755263157858e+04,4.311025213832645875e+01,4.245869000084471878e+01,1.534578993060730534e+00
7.197036199999999606e-02,2.083352584210526402e+04,4.341587198229601086e+01,4.275027582189601816e+01,1.556940037470085247e+00
7.295673299999999584e-02,2.111905428947368637e+04,4.372214742379851060e+01,4.304223026980316291e+01,1.579651309268591541e+00
7.395111299999999888e-02,2.140690113157895030e+04,4.402917328700392119e+01,4.333456435267244444e+01,1.602898159258038469e+00
7.495356899999999767e-02,2.169708576315789833e+04,4.433704879155096990e+01,4.362728993795476384e+01,1.626868995542929186e+00
7.596416400000000069e-02,2.198962642105263512e+04,4.464587114982630567e+01,4.392041741011234990e+01,1.651746004460616701e+00
7.698296699999999937e-02,2.228454307894737212e+04,4.495557198565287393e+01,4.421395859045217946e+01,1.677328651049224906e+00
7.801004200000000166e-02,2.258185426315789664e+04,4.526607178775781648e+01,4.450792355075087414e+01,1.703400600440170276e+00
7.904545699999999953e-02,2.288157965789473747e+04,4.557763828284395657e+01,4.480232322019271152e+01,1.730524238309600227e+00
8.008927999999999880e-02,2.318373894736842340e+04,4.589037117675792388e+01,4.509716823021096843e+01,1.758875285689406542e+00
8.114157999999999094e-02,2.348835210526315859e+04,4.620401018385061320e+01,4.539246920282477049e+01,1.787831759932858144e+00
8.220242999999999300e-02,2.379544026315789597e+04,4.651864663168132097e+01,4.568823758359746279e+01,1.817555440969741865e+00
8.327187999999999257e-02,2.410501789473684039e+04,4.683454593906555630e+01,4.598447815906098413e+01,1.848597209397865093e+00
8.435002999999999251e-02,2.441711394736841976e+04,4.715182514220609278e+01,4.628120929585168142e+01,1.881143253602163723e+00
8.543692999999999427e-02,2.473174289473684257e+04,4.747019210926170274e+01,4.657843524798477830e+01,1.914527305456244166e+00
8.653265000000000262e-02,2.504892500000000291e+04,4.778992837922386627e+01,4.687616556316780247e+01,1.949312203927443976e+00
8.763727999999999796e-02,2.536868631578947679e+04,4.811114084157135551e+01,4.717441491501747919e+01,1.985665170922298994e+00
8.875086999999999560e-02,2.569104131578947636e+04,4.843352103427758948e+01,4.747318689361897270e+01,2.022897984099100821e+00
8.987349999999999506e-02,2.601601315789474029e+04,4.875735935095003271e+01,4.777249295546256036e+01,2.061576305857945712e+00
9.100525999999999061e-02,2.634362789473684097e+04,4.908296214161884308e+01,4.807234689535480499e+01,2.102279816843502402e+00
9.214619999999999755e-02,2.667390000000000509e+04,4.941021584906147979e+01,4.837275164861878807e+01,2.144728519847009629e+00
9.329640000000000155e-02,2.700685263157894951e+04,4.973901381186776405e+01,4.867371788513830211e+01,2.188647124190059134e+00
9.445594999999999686e-02,2.734251184210526480e+04,5.006945710976599884e+01,4.897525858594258352e+01,2.234186312468974478e+00
9.562490999999999353e-02,2.768089500000000407e+04,5.040184339246280132e+01,4.927737866474094375e+01,2.281908571825954191e+00
9.680336999999999970e-02,2.802202815789473971e+04,5.073606825064745607e+01,4.958009057787584339e+01,2.331536024436884347e+00
9.799139999999999240e-02,2.836593157894736942e+04,5.107222550922895721e+01,4.988340136796786339e+01,2.383205853369264382e+00
9.918906999999999030e-02,2.871262552631579092e+04,5.141063175800358209e+01,5.018731788611532352e+01,2.437496011769732185e+00
1.003964700000000015e-01,2.906213605263158388e+04,5.175117821858682987e+01,5.049185182607573807e+01,2.494118054629820502e+00
1.016136699999999893e-01,2.941448342105263146e+04,5.209373643938032217e+01,5.079700957991992283e+01,2.552762200342194809e+00
1.028407599999999894e-01,2.976969368421052786e+04,5.243863765054028647e+01,5.110280233346925627e+01,2.614015780101629716e+00
1.040778099999999928e-01,3.012778710526315626e+04,5.278621522344933226e+01,5.140923604364652988e+01,2.678466528142422920e+00
1.053248999999999852e-01,3.048878684210526262e+04,5.313611540830729041e+01,5.171631895758940090e+01,2.745354811277675999e+00
1.065821299999999833e-01,3.085272184210526393e+04,5.348868787187102214e+01,5.202406398473883087e+01,2.815281573469224252e+00
1.078495599999999971e-01,3.121960947368420966e+04,5.384403188504933979e+01,5.233247400135201843e+01,2.888374594440671572e+00
1.091272900000000018e-01,3.158947868421053136e+04,5.420202893615509510e+01,5.264156143888951789e+01,2.964326008978839244e+00
1.104153899999999883e-01,3.196234973684210490e+04,5.456302348999629714e+01,5.295133121939705489e+01,3.043723799731119062e+00
1.117139499999999924e-01,3.233824868421052815e+04,5.492713705676299440e+01,5.326179289200938882e+01,3.126714431356382828e+00
1.130230499999999999e-01,3.271719868421052888e+04,5.529448706802091351e+01,5.357295338794423856e+01,3.213438071278854391e+00
1.143427899999999858e-01,3.309922868421052408e+04,5.566494819709037500e+01,5.388482416387964946e+01,3.303572129690621306e+00
1.156732399999999966e-01,3.348435894736841874e+04,5.603888474338212689e+01,5.419740935708055218e+01,3.397718466890147671e+00
1.170145000000000074e-01,3.387261842105263349e+04,5.641616792852023821e+01,5.451071996962020449e+01,3.495547224402784980e+00
1.183666500000000038e-01,3.426403026315789612e+04,5.679691304408991925e+01,5.482476209179420579e+01,3.597190169277344474e+00
1.197297699999999993e-01,3.465861763157894893e+04,5.718150511926815227e+01,5.513954164619849507e+01,3.703265228738870096e+00
1.211039699999999913e-01,3.505641236842105718e+04,5.756981535954485452e+01,5.545507126038749135e+01,3.813436807659394745e+00
1.224893299999999935e-01,3.545743763157894864e+04,5.796196423449766399e+01,5.577135641648555975e+01,3.927836722587902507e+00
1.238859299999999913e-01,3.586171657894737291e+04,5.835779858608357529e+01,5.608840244257570617e+01,4.046105869803150235e+00
1.252938799999999964e-01,3.626928105263158068e+04,5.875772678471324184e+01,5.640622126917286039e+01,4.168876167610835459e+00
1.267132600000000220e-01,3.668015421052632882e+04,5.916187372191492955e+01,5.672481781320924199e+01,4.296278071320982939e+00
1.281441700000000017e-01,3.709436500000000524e+04,5.957009149865672981e+01,5.704420130165997449e+01,4.427952604050663155e+00
1.295866900000000044e-01,3.751193657894737407e+04,5.998221000385135682e+01,5.736437629715770470e+01,4.563518119909134363e+00
1.310409299999999999e-01,3.793290078947368602e+04,6.039835704336181976e+01,5.768535383171212061e+01,4.703105782387078548e+00
1.325069799999999964e-01,3.835728368421053165e+04,6.081894448537629927e+01,5.800714028248093967e+01,4.847341532788107976e+00
1.339849300000000021e-01,3.878511131578947970e+04,6.124380512630959572e+01,5.832974185242104426e+01,4.995844626333795446e+00
1.354748900000000145e-01,3.921641552631579543e+04,6.167246526598655976e+01,5.865316890365792801e+01,5.147712252833336777e+00
1.369769400000000192e-01,3.965121947368422116e+04,6.210502151836585938e+01,5.897742507817464741e+01,5.303039995465348433e+00
1.384912000000000087e-01,4.008955789473684854e+04,6.254159513061487274e+01,5.930252246771023295e+01,5.461947532954082973e+00
1.400177400000000016e-01,4.053145105263158621e+04,6.298228103713909576e+01,5.962846221845119032e+01,5.624526767772509928e+00
1.415566900000000128e-01,4.097693657894738135e+04,6.342657625032510538e+01,5.995525812245949737e+01,5.789847690715282269e+00
1.431081300000000001e-01,4.142603763157895446e+04,6.387424203647368870e+01,6.028291310563196959e+01,5.957457504664280812e+00
1.446721700000000166e-01,4.187878605263158533e+04,6.432569107772604866e+01,6.061143627850919557e+01,6.127976875766273146e+00
1.462489100000000097e-01,4.233521078947369097e+04,6.478036572148972994e+01,6.094083443486697860e+01,6.300424538371571792e+00
1.478384500000000101e-01,4.279534078947369562e+04,6.523768223635765651e+01,6.127111418509328189e+01,6.473797814875391410e+00
1.494409000000000154e-01,4.325920789473684999e+04,6.569803156861620153e+01,6.160228402124085534e+01,6.648694301599444856e+00
1.510563700000000231e-01,4.372684394736843387e+04,6.616148363420002454e+01,6.193435221559814607e+01,6.825180642701995204e+00
1.526849500000000137e-01,4.419827500000000873e+04,6.662708066455202527e+01,6.226732274718840898e+01,7.001678769881711339e+00
1.543267600000000073e-01,4.467353578947369533e+04,6.709486433900907798e+01,6.260120555608394710e+01,7.178230423852294706e+00
1.559819000000000067e-01,4.515265526315790339e+04,6.756521688118772317e+01,6.293600629721203887e+01,7.355424750204957007e+00
1.576504800000000095e-01,4.563566526315790543e+04,6.803748601030079612e+01,6.327173247272965995e+01,7.532200164781630569e+00
1.593326100000000134e-01,4.612259763157895213e+04,6.851134413001528856e+01,6.360839138623291689e+01,7.708028197115424085e+00
1.610283900000000212e-01,4.661348131578948232e+04,6.898716274746203680e+01,6.394598816135822972e+01,7.883488442438562060e+00
1.627379500000000201e-01,4.710835394736843591e+04,6.946461522625190810e+01,6.428453369849465560e+01,8.058052582371852068e+00
1.644614000000000076e-01,4.760724736842105631e+04,6.994371664796862831e+01,6.462403469871260597e+01,8.231739126251115479e+00
1.661988300000000196e-01,4.811018763157895592e+04,7.042447714491649435e+01,6.496449377220210408e+01,8.404565410545355775e+00
1.679503800000000102e-01,4.861721526315790106e+04,7.090692431596464473e+01,6.530592315364773981e+01,8.576559202967263928e+00
1.697161500000000101e-01,4.912835921052632330e+04,7.139106858052902282e+01,6.564832704429478838e+01,8.747734778312695525e+00
1.714962500000000167e-01,4.964365131578948785e+04,7.187730959965776378e+01,6.599171143914476545e+01,8.918693017895874320e+00
1.732908200000000121e-01,5.016313210526316834e+04,7.236607423927841864e+01,6.633608790779840092e+01,9.090054179651342992e+00
1.750999500000000042e-01,5.068682763157895533e+04,7.285700334607477657e+01,6.668145821642985993e+01,9.261262868008643068e+00
1.769237800000000027e-01,5.121477842105263699e+04,7.335053075026787894e+01,6.702783352194330746e+01,9.432942847921037099e+00
1.787624200000000052e-01,5.174701631578947854e+04,7.384669670431625832e+01,6.737521905369945330e+01,9.605130404784143039e+00
1.806159800000000093e-01,5.228357315789474524e+04,7.434594473842915363e+01,6.772361988871114136e+01,9.778456704766144370e+00
1.824845999999999968e-01,5.282448947368421796e+04,7.484874635032971923e+01,6.807304655029263074e+01,9.953572145520437786e+00
1.843684000000000156e-01,5.336980000000001019e+04,7.535394222098547345e+01,6.842350558973269870e+01,1.012873656723709637e+01
1.862674900000000078e-01,5.391953657894737262e+04,7.586321957382810410e+01,6.877500153235536118e+01,1.030638732612470321e+01
1.881820000000000159e-01,5.447373684210527426e+04,7.637289417379669487e+01,6.912754243836030810e+01,1.048113599857383349e+01
1.901120500000000046e-01,5.503243552631579951e+04,7.688971016819390059e+01,6.948113433008138884e+01,1.066271572786487809e+01
1.920577900000000060e-01,5.559567605263158475e+04,7.740658639929029050e+01,6.983578851489373562e+01,1.084085688068367048e+01
1.940193200000000229e-01,5.616348736842106155e+04,7.791308835754402651e+01,7.019150697935651806e+01,1.100073457670376520e+01
1.959967800000000093e-01,5.673591000000001077e+04,7.848965840635342772e+01,7.054829882078033165e+01,1.125662803825672320e+01
1.979902900000000132e-01,5.731297868421053863e+04,7.894695317801078716e+01,7.090616932360192948e+01,1.134003420451651856e+01
2.000000000000000111e-01,5.789473684210526699e+04,3.934697520816968108e+01,7.126512896217603554e+01,-4.478789868035867983e+01
